fips_st_cnty|st_cnty_nm|st_abbr|cbsa_ind_cd_msa|cbsa_status_central|rur_urb_cntm_cd_02|urb_infl_cd_2|mds_y20|dos_y20|mds_dos_y20|mds_dos_per_1k|mds_gp_y20|mds_gp_per_1k|mds_spec_y20|mds_spec_per_1k|popn|cvln_lbr_frc_ovr15|pct_cvln_lbr_frc_ovr15|pop_ovr64|pct_ovr64|pop_female|pct_female|pop_wht_non_hisp|pct_wht_non_hisp|prsnl_income|pop_in_pvrty|pct_in_pvrty|hsptl_beds|hsptl_beds_per_1k
01043|Cullman, AL|AL|0|1|0|0|87|8|95|1.1240608176|19|0.2248121635|31|0.3667987931|84515|38310|0.453292315|16141|0.190983849|42726|0.5055433947|77490|0.9168786606|42659|10381|0.1228302668|145|1.7156717742
01045|Dale, AL|AL|0|1|0|0|25|2|27|0.5514818522|6|0.1225515227|8|0.1634020303|48959|20710|0.4230070059|8733|0.1783737413|24979|0.5102024143|33271|0.6795686186|40111|7440|0.1519638882|69|1.4093425111
01047|Dallas, AL|AL|0|1|0|0|44|4|48|1.3297135575|17|0.4709402183|15|0.4155354867|36098|14619|0.4049808854|7053|0.1953847859|19412|0.5377583246|9646|0.2672170203|41195|9471|0.2623691063|149|4.1276525015
01049|DeKalb, AL|AL|0|1|0|0|43|4|47|0.6558932708|14|0.1953724636|17|0.2372379916|71658|30736|0.4289262888|12839|0.1791705043|36060|0.5032236457|57019|0.7957101789|35100|10778|0.1504088867|115|1.6048452371
01051|Elmore, AL|AL|1|1|1|1|18|7|25|0.3042917306|10|0.1217166922|4|0.0486866769|82158|36620|0.4457265269|13411|0.1632342559|42515|0.517478517|60083|0.7313104019|47270|8972|0.1092042163|96|1.1684802454
01053|Escambia, AL|AL|0|1|0|0|20|4|24|0.6615032662|8|0.2205010887|6|0.1653758165|36281|14453|0.3983627794|6794|0.1872605496|18077|0.4982497726|21804|0.6009757173|37137|6892|0.1899616879|82|2.2601361594
01055|Etowah, AL|AL|1|1|0|1|186|9|195|1.9048363306|34|0.3321253089|71|0.6935557922|102371|40724|0.397807973|20061|0.1959637007|52812|0.5158882887|78953|0.7712438093|39852|15650|0.152875326|666|6.5057486984
01057|Fayette, AL|AL|0|0|0|0|22|2|24|1.4777415184|7|0.4310079429|8|0.4925805061|16241|6562|0.4040391602|3575|0.2201219137|8307|0.511483283|13641|0.8399113355|38001|2640|0.162551567|167|10.282618065
01059|Franklin, AL|AL|0|0|0|0|15|2|17|0.5395626369|6|0.1904338718|4|0.1269559146|31507|14424|0.4578030279|5444|0.1727869997|15740|0.4995715238|23812|0.7557685594|37362|5357|0.1700257086|114|3.6182435649
01061|Geneva, AL|AL|1|0|0|1|8|0|8|0.302904093|7|0.2650410814|0|0|26411|10835|0.4102457309|5604|0.2121843171|13547|0.5129302185|21966|0.8316989133|38358|5492|0.2079436598|147|5.5658627087
01063|Greene, AL|AL|1|0|0|0|3|0|3|0.3754693367|0|0|2|0.2503128911|7990|3015|0.3773466834|1950|0.2440550688|4276|0.5351689612|1378|0.172465582|35992|2210|0.2765957447|92|11.514392991
01065|Hale, AL|AL|1|0|0|1|5|0|5|0.3408316292|3|0.2044989775|0|0|14670|6075|0.4141104294|2960|0.2017723245|7753|0.5284935242|5803|0.3955691888|41190|3166|0.2158145876|20|1.3633265167
01067|Henry, AL|AL|1|0|0|1|3|2|5|0.2903094699|1|0.058061894|2|0.116123788|17223|6814|0.3956337456|4067|0.2361377228|8954|0.5198861987|12028|0.6983684608|45409|2743|0.1592637752|0|0
01069|Houston, AL|AL|1|1|0|1|312|21|333|3.124413586|17|0.1595045975|119|1.1165321824|106580|46358|0.4349596547|19910|0.1868080315|55604|0.5217113905|69870|0.6555638957|47072|15534|0.1457496716|827|7.7594295365
01071|Jackson, AL|AL|0|1|0|0|44|3|47|0.9111705634|20|0.3877321546|10|0.1938660773|51582|22840|0.4427901206|10897|0.2112558644|26268|0.5092474119|45944|0.8906983056|40089|7777|0.1507696483|92|1.7835679113
01073|Jefferson, AL|AL|1|1|0|0|2505|69|2574|3.9277201827|171|0.2609324597|1023|1.5610169957|655342|315957|0.4821253636|109511|0.1671051146|346110|0.5281364539|322562|0.4922040705|58424|92310|0.1408577506|4553|6.9475174794
01075|Lamar, AL|AL|0|0|0|0|2|0|2|0.1453065969|2|0.1453065969|0|0|13764|5730|0.4163034002|3099|0.2251525719|7011|0.5093722755|11818|0.8586166812|37161|2348|0.1705899448|0|0
01077|Lauderdale, AL|AL|1|1|0|1|142|13|155|1.660097678|20|0.214206152|60|0.642618456|93368|41931|0.449093908|19471|0.2085403993|48615|0.520681604|78714|0.8430511524|40729|12630|0.135271185|239|2.5597635164
01079|Lawrence, AL|AL|1|0|0|1|3|0|3|0.0913047448|3|0.0913047448|0|0|32857|14363|0.4371366832|6325|0.192500837|16826|0.5120978787|25102|0.7639772347|38098|5005|0.1523267492|43|1.3087013422
01081|Lee, AL|AL|1|1|0|1|177|25|202|1.2108061451|33|0.1978049643|68|0.4075981083|166831|75564|0.4529374037|21587|0.1293944171|84846|0.5085745455|112727|0.675695764|42468|28901|0.1732351901|544|3.2607848661
01083|Limestone, AL|AL|1|0|1|1|52|9|61|0.5967054036|13|0.1271667254|16|0.1565128927|102228|44624|0.4365144579|16088|0.1573737137|51169|0.5005380131|77343|0.7565735415|47695|10285|0.1006084439|102|0.9977696913
01085|Lowndes, AL|AL|1|0|1|1|1|1|2|0.2074473602|1|0.1037236801|0|0|9641|3661|0.3797323929|1957|0.202987242|5145|0.5336583342|2368|0.2456176745|44921|2083|0.2160564257|0|0
01087|Macon, AL|AL|0|0|0|0|7|1|8|0.4470522492|3|0.1676445935|1|0.0558815312|17895|8063|0.4505727857|3803|0.212517463|9786|0.5468566639|2972|0.1660799106|37834|4543|0.253869796|0|0
01089|Madison, AL|AL|1|1|1|1|833|41|874|2.3033155621|146|0.3847643845|302|0.795882494|379453|187247|0.4934655939|59238|0.156114196|193759|0.5106271396|244492|0.6443274925|57128|39100|0.1030430646|1312|3.4576087157
01091|Marengo, AL|AL|0|0|0|0|8|0|8|0.4270538622|7|0.3736721294|0|0|18733|7766|0.4145625367|3866|0.2063737789|9939|0.530561042|8301|0.4431217637|43854|3370|0.1798964394|47|2.5089414402
01093|Marion, AL|AL|0|0|0|0|4|4|8|0.269333064|1|0.033666633|3|0.100999899|29703|13034|0.4388108945|6424|0.2162744504|14996|0.5048648285|27230|0.9167424166|36330|4843|0.1630475036|71|2.390330943
01095|Marshall, AL|AL|0|1|0|0|81|10|91|0.9382410558|34|0.3505516033|26|0.2680688731|96990|44275|0.4564903598|16922|0.174471595|49219|0.5074646871|77204|0.7959995876|40045|14754|0.1521187751|183|1.8867924528
01097|Mobile, AL|AL|1|1|1|1|883|39|922|2.2339817211|68|0.1647622094|392|0.9498056775|412716|190882|0.4625020595|70526|0.1708826408|216655|0.5249493599|232275|0.5627962085|42823|71398|0.1729954739|1583|3.8355673151
01099|Monroe, AL|AL|0|0|0|0|11|0|11|0.5376606872|6|0.2932694658|3|0.1466347329|20459|7474|0.3653159978|4448|0.2174104306|10759|0.5258810304|11035|0.5393714258|38192|4552|0.222493768|44|2.1506427489
01101|Montgomery, AL|AL|1|1|1|1|505|37|542|2.4127600283|90|0.4006428091|194|0.863607833|224639|107103|0.4767782976|35947|0.1600211896|119064|0.530023727|71670|0.3190452237|47776|44058|0.1961280098|1026|4.5673280241
01103|Morgan, AL|AL|1|1|0|1|131|5|136|1.1344394118|31|0.2585854542|42|0.350341583|119883|58899|0.4913040214|21897|0.1826530868|60979|0.5086542712|89824|0.7492638656|44679|16995|0.1417632191|110|0.9175612889
01105|Perry, AL|AL|0|0|0|0|2|0|2|0.2302290779|2|0.2302290779|0|0|8687|3437|0.3956486704|1814|0.2088177737|4656|0.5359732934|2565|0.2952687924|36217|2443|0.2812248187|0|0
01107|Pickens, AL|AL|1|0|0|1|7|0|7|0.353660385|6|0.3031374728|0|0|19793|7660|0.387005507|3927|0.198403476|9891|0.499722124|10555|0.5332693376|36861|4050|0.2046177942|0|0
01109|Pike, AL|AL|0|1|0|0|18|3|21|0.63701996|6|0.1820057028|7|0.2123399867|32966|15636|0.4743068616|5194|0.1575562701|17189|0.5214160044|18351|0.5566644422|40342|6101|0.1850694655|43|1.3043742037
01111|Randolph, AL|AL|0|0|0|0|8|2|10|0.4363001745|5|0.2181500873|2|0.0872600349|22920|9414|0.4107329843|4892|0.2134380454|11810|0.5152705061|17359|0.7573734729|35208|3933|0.1715968586|15|0.6544502618
01113|Russell, AL|AL|1|1|1|1|24|1|25|0.4292803544|8|0.1373697134|7|0.1201984992|58237|23500|0.4035235331|8779|0.1507460893|30474|0.5232755808|26412|0.4535261088|36526|11702|0.2009375483|93|1.5969229184
01115|St. Clair, AL|AL|1|0|0|0|18|1|19|0.209391772|6|0.0661237175|7|0.0771443371|90739|40132|0.442279505|15895|0.1751727482|45901|0.5058574593|77080|0.8494693572|43279|9384|0.1034174941|40|0.4408247832
01117|Shelby, AL|AL|1|1|0|0|440|31|471|2.1271022635|58|0.2619361598|175|0.7903246202|221428|114048|0.515056813|36343|0.164130101|114455|0.5168948823|169758|0.7666510107|59588|15227|0.0687672742|317|1.4316165977
01119|Sumter, AL|AL|0|0|0|0|6|1|7|0.572597137|4|0.327198364|2|0.163599182|12225|4745|0.3881390593|2426|0.1984458078|6637|0.5429038855|3106|0.2540695297|35310|3338|0.2730470348|33|2.6993865031
01121|Talladega, AL|AL|0|1|0|0|38|1|39|0.4875914234|9|0.1125210977|16|0.200037507|79985|36123|0.4516221792|15103|0.1888229043|41430|0.5179721198|49631|0.6205038445|38300|12958|0.162005376|173|2.1629055448
01123|Tallapoosa, AL|AL|0|1|0|0|46|0|46|1.1461889218|9|0.2242543543|15|0.3737572571|40133|17864|0.4451199761|9154|0.2280915954|20675|0.5151620861|27531|0.6859940697|45058|6004|0.1496025714|94|2.3422121446
01125|Tuscaloosa, AL|AL|1|1|0|1|376|10|386|1.8314844514|85|0.4033061616|116|0.5503942911|210758|102222|0.4850207347|29766|0.141233073|109543|0.5197572571|127088|0.6030043937|42868|28776|0.1365357424|2071|9.8264360072
01127|Walker, AL|AL|0|1|0|0|66|2|68|1.0769206405|12|0.1900448189|21|0.3325784331|63143|24877|0.3939787467|12720|0.201447508|32412|0.5133110559|55962|0.886274013|44095|10219|0.1618390004|178|2.8189981471
01129|Washington, AL|AL|1|0|0|0|3|0|3|0.1877816725|2|0.1251877817|1|0.0625938908|15976|6729|0.4211942914|3279|0.2052453681|8174|0.5116424637|10440|0.6534802203|40371|2769|0.1733224837|20|1.2518778167
01131|Wilcox, AL|AL|0|0|0|0|3|0|3|0.2939447384|1|0.0979815795|2|0.1959631589|10206|2871|0.2813051146|2145|0.2101704879|5414|0.5304722712|2756|0.270037233|38273|2240|0.219478738|0|0
01133|Winston, AL|AL|0|0|0|0|7|3|10|0.4253871023|3|0.1276161307|3|0.1276161307|23508|10017|0.4261102603|5310|0.2258805513|11954|0.508507742|21939|0.9332567637|38382|4036|0.1716862345|59|2.5097839034
02016|Aleutians West (CA), AK|AK|0|0|0|0|1|1|2|0.3521126761|1|0.176056338|0|0|5680|3732|0.6570422535|441|0.0776408451|1914|0.336971831|1293|0.2276408451|59674|443|0.0779929577|0|0
02020|Anchorage (B), AK|AK|1|1|1|1|832|103|935|3.2567616991|156|0.5433741444|240|0.8359602222|287095|148392|0.5168742054|35114|0.1223079468|140888|0.4907365158|161820|0.5636461798|70477|23200|0.0808094881|1106|3.8523833574
02050|Bethel (CA), AK|AK|0|0|0|0|16|1|17|0.9220589033|10|0.5423875902|3|0.1627162771|18437|6963|0.377664479|1510|0.0819005261|8842|0.4795791072|1675|0.0908499214|47936|4567|0.2477084124|82|4.4475782394
02070|Dillingham (CA), AK|AK|0|0|0|0|8|2|10|2.0691082144|7|1.4483757501|1|0.2069108214|4833|1742|0.3604386509|525|0.1086281813|2349|0.4860335196|681|0.1409062694|60792|894|0.1849782744|16|3.310573143
02090|Fairbanks North Star (B), AK|AK|1|1|0|1|142|32|174|1.8191132346|32|0.3345495604|36|0.3763682554|95651|44679|0.467104369|11227|0.1173746223|44092|0.4609674755|66113|0.6911898464|62254|6565|0.0686349332|238|2.4882123553
02100|Haines (B), AK|AK|0|0|0|0|5|0|5|1.9127773527|5|1.9127773527|0|0|2614|1018|0.389441469|625|0.2390971691|1303|0.4984697781|2030|0.7765876052|64956|251|0.0960214231|0|0
02110|Juneau (B), AK|AK|0|1|0|0|62|7|69|2.1664730447|27|0.8477503218|9|0.2825834406|31849|16374|0.514113473|4720|0.1481993155|15623|0.4905334547|20302|0.6374454457|74162|2510|0.0788093818|73|2.292065685
02122|Kenai Peninsula (B), AK|AK|0|0|0|0|67|13|80|1.3464839937|19|0.3197899485|17|0.2861278487|59414|26341|0.443346686|11420|0.1922105901|28459|0.4789948497|47243|0.7951492914|56139|6171|0.1038644091|218|3.6691688828
02130|Ketchikan Gateway (B), AK|AK|0|1|0|0|24|0|24|1.745835455|9|0.6546882956|6|0.4364588638|13747|6520|0.4742852986|2355|0.171310104|6738|0.490143304|8686|0.6318469484|70574|1127|0.0819815232|54|3.9281297738
02150|Kodiak Island (B), AK|AK|0|0|0|0|21|0|21|1.6163793103|16|1.2315270936|2|0.1539408867|12992|6090|0.46875|1609|0.1238454433|6066|0.4669027094|6216|0.4784482759|66988|957|0.0736607143|6|0.4618226601
02170|Matanuska-Susitna (B), AK|AK|1|0|1|1|91|23|114|1.0343607378|29|0.2631268544|17|0.1542467767|110213|47848|0.434141163|14446|0.1310734668|53022|0.4810866232|85984|0.7801620498|50386|9365|0.0849718273|74|0.6714271456
02180|Nome (CA), AK|AK|0|0|0|0|6|3|9|0.9082652134|6|0.6055101423|0|0|9909|3927|0.3963063881|842|0.0849732566|4695|0.4738116863|1382|0.1394691694|55950|1825|0.1841760016|36|3.6330608538
02185|North Slope (B), AK|AK|0|0|0|0|1|0|1|0.1075962987|0|0|0|0|9294|3200|0.3443081558|723|0.077792124|3610|0.3884226383|2623|0.2822250915|90809|1025|0.1102862062|14|1.5063481816
02188|Northwest Arctic (B), AK|AK|0|0|0|0|4|2|6|0.7849293564|4|0.5232862376|0|0|7644|2942|0.3848770277|594|0.0777080063|3510|0.4591836735|781|0.1021716379|52440|1397|0.1827577185|17|2.2239665097
02195|Petersburg (B), AK|AK|0|0|0|0|2|2|4|1.213592233|1|0.3033980583|1|0.3033980583|3296|1415|0.4293082524|666|0.2020631068|1599|0.4851334951|2263|0.6865898058|72412|242|0.0734223301|27|8.1917475728
02198|Prince of Wales-Hyder (CA), AK|AK|0|0|0|0|6|1|7|1.1387668782|5|0.813404913|0|0|6147|2828|0.4600618188|1192|0.1939157313|2765|0.4498129169|2734|0.4447698064|48970|975|0.158613958|0|0
02220|Sitka (B), AK|AK|0|0|0|0|17|1|18|2.1415823914|7|0.8328375967|5|0.5948839976|8405|4132|0.4916121356|1436|0.1708506841|4102|0.4880428316|5162|0.6141582391|70996|609|0.0724568709|25|2.9744199881
02240|Southeast Fairbanks (CA), AK|AK|0|0|0|0|2|3|5|0.7187005893|2|0.2874802357|0|0|6957|2934|0.4217335058|1112|0.1598390111|3166|0.4550812132|4998|0.7184131091|54808|805|0.1157107949|0|0
02275|Wrangell (B), AK|AK|0|0|0|0|2|0|2|0.796812749|2|0.796812749|0|0|2510|984|0.3920318725|650|0.2589641434|1191|0.474501992|1647|0.6561752988|48549|264|0.1051792829|22|8.764940239
02290|Yukon-Koyukuk (CA), AK|AK|0|0|0|0|0|1|1|0.1969667126|0|0|0|0|5077|2308|0.4545991727|847|0.1668308056|2394|0.47153831|1087|0.2141028166|63675|1029|0.2026787473|0|0
04001|Apache, AZ|AZ|0|0|0|0|30|2|32|0.4452173913|4|0.0556521739|18|0.2504347826|71875|20195|0.280973913|11834|0.1646469565|36425|0.5067826087|13014|0.1810643478|38915|22939|0.3191513043|143|1.9895652174
04003|Cochise, AZ|AZ|1|1|0|1|100|33|133|1.0435464888|22|0.1726167124|50|0.3923107101|127450|51995|0.4079639074|30285|0.2376225971|62711|0.4920439388|69822|0.547838368|45786|17815|0.139780306|160|1.2553942723
04005|Coconino, AZ|AZ|1|1|0|1|299|49|348|2.4424309206|55|0.3860163811|81|0.5684968522|142481|75280|0.5283511486|19744|0.1385728623|72295|0.5074009868|76966|0.5401843053|53036|22540|0.1581965315|402|2.8214288221
04007|Gila, AZ|AZ|0|1|0|0|33|8|41|0.7550227428|14|0.2578126439|7|0.1289063219|54303|21008|0.3868662873|16358|0.3012356592|27301|0.5027530707|33528|0.6174244517|44201|8911|0.1640977478|50|0.9207594424
04009|Graham, AZ|AZ|0|1|0|0|22|4|26|0.663079238|10|0.2550304761|6|0.1530182857|39211|15919|0.405983015|5598|0.1427660605|18218|0.4646145214|20012|0.5103669889|35072|5523|0.140853332|61|1.5556859045
04011|Greenlee, AZ|AZ|0|0|0|0|4|1|5|0.5352745959|4|0.4282196767|0|0|9341|4454|0.47682261|1291|0.1382079007|4489|0.4805695322|4191|0.4486671663|44050|776|0.0830746173|0|0
04012|La Paz, AZ|AZ|0|0|0|0|9|1|10|0.4655493482|3|0.1396648045|4|0.1862197393|21480|8979|0.4180167598|8956|0.4169459963|10493|0.4885009311|12212|0.5685288641|39482|4405|0.2050744879|45|2.094972067
04013|Maricopa, AZ|AZ|1|1|0|0|8426|1190|9616|2.0999846913|905|0.1976379103|3258|0.7114964771|4579081|2331628|0.5091912548|729812|0.1593795786|2315645|0.5057008164|2478171|0.5411939645|53521|520797|0.1137339567|10699|2.3364950303
04015|Mohave, AZ|AZ|1|1|0|1|250|56|306|1.4088008619|34|0.1565334291|99|0.4557885141|217206|88743|0.4085660617|69474|0.3198530427|107714|0.4959071112|165937|0.7639614007|36529|32550|0.1498577387|512|2.3572092852
04017|Navajo, AZ|AZ|0|1|0|0|97|25|122|1.0881975168|36|0.321107464|19|0.1694733838|112112|40419|0.3605234052|21896|0.1953046953|55804|0.4977522478|46984|0.4190809191|36169|25532|0.2277365492|180|1.6055373198
04019|Pima, AZ|AZ|1|1|1|1|2581|207|2788|2.6272763682|329|0.3100336891|949|0.8942917049|1061175|495991|0.4673979315|221336|0.2085763423|539469|0.5083694961|539983|0.5088538648|48373|154790|0.1458666101|3300|3.1097604071
04021|Pinal, AZ|AZ|1|1|0|0|127|19|146|0.3036428827|29|0.0603126274|49|0.1019075428|480828|191074|0.3973853436|103815|0.2159088073|232419|0.4833724326|268361|0.5581226551|35949|50810|0.1056718827|404|0.8402172918
04023|Santa Cruz, AZ|AZ|0|1|0|0|30|1|31|0.6622799521|11|0.2350025637|10|0.2136386942|46808|19429|0.415078619|8955|0.1913134507|24255|0.5181806529|7218|0.1542044095|42204|7810|0.1668518202|25|0.5340967356
04025|Yavapai, AZ|AZ|1|1|0|1|327|60|387|1.610982991|48|0.1998118438|117|0.4870413694|240226|106985|0.4453514607|80939|0.3369285589|122834|0.5113268339|191767|0.7982774554|44490|25610|0.1066079442|484|2.0147694255
04027|Yuma, AZ|AZ|1|1|0|1|219|12|231|1.0604892023|29|0.1331350081|99|0.4544953724|217824|98120|0.4504554135|43682|0.2005380491|105403|0.483890664|65298|0.2997741296|40800|31745|0.1457369252|447|2.0521154694
05001|Arkansas, AR|AR|0|0|0|0|13|3|16|0.9204395099|8|0.4602197549|2|0.1150549387|17383|9422|0.5420238164|3562|0.2049128459|8997|0.5175746419|11873|0.6830236438|50534|2940|0.1691307599|114|6.5581315078
05003|Ashley, AR|AR|0|0|0|0|9|1|10|0.5170898185|5|0.2585449093|3|0.1551269456|19339|7186|0.3715807436|4181|0.2161952531|9963|0.5151765862|13185|0.6817829257|38489|3279|0.1695537515|33|1.7063964011
05005|Baxter, AR|AR|0|1|0|0|90|5|95|2.2489465461|20|0.4734624308|23|0.5444817954|42242|16528|0.3912693528|13294|0.3147104777|21783|0.5156716065|39819|0.9426400265|39950|6013|0.1423464798|185|4.3795274845
05007|Benton, AR|AR|1|1|1|1|330|38|368|1.2743529542|82|0.2839590822|122|0.4224757076|288774|140015|0.4848601328|39776|0.1377409324|144791|0.5013990179|207552|0.7187350662|94289|25970|0.0899319191|314|1.0873555098
05009|Boone, AR|AR|0|1|0|0|43|4|47|1.2491694352|18|0.4784053156|11|0.292358804|37625|15764|0.4189767442|8083|0.2148305648|19071|0.5068704319|35175|0.9348837209|38108|5255|0.1396677741|113|3.0033222591
05011|Bradley, AR|AR|0|0|0|0|6|0|6|0.5639627785|5|0.469968982|0|0|10639|4386|0.4122567911|2070|0.1945671586|5475|0.5146160353|5816|0.5466679199|42037|2156|0.2026506251|33|3.1017952815
05013|Calhoun, AR|AR|0|0|0|0|2|1|3|0.5867396832|1|0.1955798944|0|0|5113|2426|0.4744768238|1146|0.224134559|2517|0.4922745942|3691|0.7218853902|38509|798|0.1560727557|0|0
05015|Carroll, AR|AR|0|0|0|0|21|0|21|0.742679304|14|0.495119536|3|0.1060970434|28276|12709|0.4494624416|6841|0.2419366247|14208|0.5024755977|21979|0.7773023058|34692|3935|0.1391639553|40|1.4146272457
05017|Chicot, AR|AR|0|0|0|0|7|3|10|1.0076582023|3|0.3022974607|2|0.2015316405|9924|3250|0.3274889158|2230|0.2247077791|4939|0.4976823861|3843|0.3872430472|44762|2467|0.2485892785|35|3.5268037082
05019|Clark, AR|AR|0|1|0|0|18|0|18|0.8143690902|5|0.2262136362|7|0.3166990906|22103|9314|0.4213907614|3783|0.1711532371|11562|0.5230964123|15063|0.6814912003|39450|3830|0.1732796453|25|1.1310681808
05021|Clay, AR|AR|0|0|0|0|3|1|4|0.2782608696|2|0.1391304348|0|0|14375|5519|0.3839304348|3146|0.2188521739|7325|0.5095652174|13592|0.9455304348|39157|2577|0.1792695652|25|1.7391304348
05023|Cleburne, AR|AR|0|0|0|0|18|0|18|0.7218768799|11|0.4411469822|3|0.1203128133|24935|9157|0.3672348105|6933|0.2780429116|12658|0.5076398636|23541|0.9440946461|41656|3563|0.1428915179|25|1.0026067776
05027|Columbia, AR|AR|0|1|0|0|20|0|20|0.85722858|13|0.557198577|3|0.128584287|23331|9053|0.3880245167|4167|0.1786035746|12094|0.5183661223|13838|0.5931164545|38806|3857|0.1653165317|36|1.543011444
